"Series Number",Filename,UUID,sha256
81,segun-baller,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,311c203dd3bfe8d2afd65b896241ebb86fa62805c5378f14913fb2cf5300c6fe
82,bolanle-pepper-dem,46966104-775b-4443-90bb-b35afd121653,be47ba38352454b353ee8024cf08cb6105373596b9a5aef98818550f5e9e5e68
83,tayo-tailor,70828783-ac38-48cf-b966-cfebc92ebd86,3c9d90f6fc433d049bd495d2dd1b143316bf23c84185d1858beb6db3d83e5a40
84,ajasco-comedian,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,4919e727884be8f80552d4e1f026cd6c55b73a96f87a08192e69e652033e7e36
85,tobi-babyboy,3da592d4-5dec-4bc5-8412-f1b2a0269f95,fbfc0dfafc675a27f0ea016215e6007233c64e21b41655976a4fef975102ef88
86,esther-sassy,0642a25a-966d-446f-b021-a6d18e7fa0c5,9160b45d24db2b570dccd2641f068a01f354949568f288d621feb3075e56628e
87,ozo-fineboi,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,964dcd49c90755746f6a77e5e96cd370cea2be24fb14ca9c0b4dfa5a6d299e20
88,ade-party-girl,7e3db30c-9faf-430d-ab48-b854fe0456b9,fcb5aa9a88ba0c287dd033df291c36e18a72f758f27e369e83a7cd620b6ee3ee
89,john-casco,2eff88ef-5bc2-4779-917a-533e952e2953,c6b283691a113178119a8505934d6c69e22b707e1c33c477661aa827e1db3fac
90,agha-uwa,8478a002-1eba-4a05-8b98-7170c6e39254,b90a088e835c295a6039b591f539f0756313b587c3b1baa99e7057cdf7e505af
91,udeme-great,d1476409-6f8b-4be9-8c93-24d9123749c5,065dea5ba9b87c1c0541601b2d253d739de4eb677c0ba9af3cfb247fdf879f9a
92,femi-tech-bro,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,ce9d4838024ce0c7a06d2a09b06d8f3ecb2cc4da92f4c09a835bb4c397c186d9
93,sai-baba,fdfff369-5b57-4612-9f89-f5d408f24a35,82ca3e7564facb6e130ff105efb5aa5084e3a4ac533cbb3b41e186a6750b9e41
94,omo-pastor,49e09559-61a6-41ff-811a-272721a7475c,a6f33d1f649744c8b450c1a793363d6774756c97fb15cc2bae57b691ce8f93a7
95,obi-container,4b64cf48-94fa-4aed-8cf2-452974b48ee3,e505f9724a893089b94b58f24517b5e6fd97a1bb0cf7e4df3bf97630d835a769
96,erigga-international,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,867843ffaae61abc6b1c0e524ba9e18f29d08a042754661bf245d3f219fc77f7
97,ayo-web3-bro,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,b52acc922cd59187e4f03703b4d807761b08926c8df25b6fecfd1619b2f58f0f
98,phoebe-queen-bee,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,62137425e78761fa0fc3cfb4a5f501e13d8f51027828bf929335223080fed744
99,rachel-warri-babe,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,dbdba0fc1454488b5fcbcf5642ff1ef913b2658ff800e4f6200dc45c4396c8c5
